,name,artist_id,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,A-Movie,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2021-10-18,498146,0,0.597,0.755,0.594,7.26e-05,0.311,-14.565,0.723,107.651,4
1,Save the Children,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2021-10-18,477866,0,0.51,0.854,0.283,0.000622,0.678,-15.934,0.0308,89.619,4
2,The Bottle,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2021-10-18,541466,1,0.494,0.413,0.741,0.000283,0.0449,-11.993,0.114,119.714,4
3,Three Miles Down,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2021-10-18,396133,0,0.646,0.793,0.526,0.000124,0.522,-13.553,0.072,101.183,4
4,Washington DC,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2021-10-18,412800,0,0.586,0.789,0.512,0.000413,0.713,-13.911,0.266,107.044,4
5,Alien,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2021-10-18,572426,0,0.459,0.766,0.727,0.0,0.959,-11.668,0.593,107.96,4
6,Winter In America,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2021-10-18,525146,0,0.415,0.919,0.386,0.00017,0.395,-14.237,0.184,151.405,4
7,Johannesburg,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2021-10-18,325920,0,0.584,0.795,0.615,1.55e-06,0.427,-11.645,0.465,115.565,4
8,Gun,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2021-10-18,258720,0,0.637,0.707,0.598,2.5e-05,0.368,-13.319,0.294,109.436,4
9,A-Movie,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2020-04-03,498146,10,0.597,0.755,0.594,7.26e-05,0.311,-14.565,0.723,107.651,4
10,Save the Children,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2020-04-03,477866,9,0.51,0.854,0.283,0.000622,0.678,-15.934,0.0308,89.619,4
11,The Bottle,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2020-04-03,541466,9,0.494,0.413,0.741,0.000283,0.0449,-11.993,0.114,119.714,4
12,Three Miles Down,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2020-04-03,396133,7,0.646,0.793,0.526,0.000124,0.522,-13.553,0.072,101.183,4
13,Washington DC,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2020-04-03,412800,6,0.586,0.789,0.512,0.000413,0.713,-13.911,0.266,107.044,4
14,Alien,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2020-04-03,572426,6,0.459,0.766,0.727,0.0,0.959,-11.668,0.593,107.96,4
15,Winter In America,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2020-04-03,525146,6,0.415,0.919,0.386,0.00017,0.395,-14.237,0.184,151.405,4
16,Johannesburg,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2020-04-03,325920,5,0.584,0.795,0.615,1.55e-06,0.427,-11.645,0.465,115.565,4
17,Gun,0kEfub5RzlZOB2zGomqVSU,Save the Children,Gil Scott-Heron,2020-04-03,258720,5,0.637,0.707,0.598,2.5e-05,0.368,-13.319,0.294,109.436,4
18,Special Tribute - Broken Home pt. 1,0kEfub5RzlZOB2zGomqVSU,We're New Again - A Reimagining by Makaya McCraven,Gil Scott-Heron,2020-02-07,42333,20,0.613,0.749,0.0217,0.853,0.114,-21.758,0.108,72.631,3
19,I'm New Here,0kEfub5RzlZOB2zGomqVSU,We're New Again - A Reimagining by Makaya McCraven,Gil Scott-Heron,2020-02-07,253453,29,0.767,0.744,0.613,0.227,0.096,-9.721,0.037,119.979,4
